uid,questions,concepts,responses,selectmasks,timestamps,elapsed_time
0,10,1,1,1,1704407774,23
0,20,2,0,1,1704407825,38
0,18,2,1,1,1704408221,22
0,44,5,1,1,1704408273,35
0,32,4,0,1,1704441917,39
0,64,8,0,1,1704441988,65
0,36,4,0,1,1704442074,66
0,25,3,0,1,1704442125,37
0,4,0,0,1,1704442212,66
0,5,0,1,1,1704442237,19
0,79,9,1,1,1704442293,31
0,6,0,0,1,1704442373,61
0,60,7,0,1,1704442462,70
0,50,6,0,1,1704442527,47
0,4,0,0,1,1704442567,31
0,30,3,1,1,1704442630,36
0,70,8,0,1,1704496894,60
0,58,7,0,1,1704497346,53
0,39,4,0,1,1704497533,51
0,22,2,0,1,1704497581,26
0,71,8,1,1,1704497977,42
0,33,4,1,1,1704498009,22
0,60,7,0,1,1704498100,73
0,54,6,0,1,1704498161,52
0,32,4,1,1,1704498209,26
0,28,3,1,1,1704498498,26
0,14,1,0,1,1704498550,38
0,40,5,0,1,1704498891,46
0,19,2,0,1,1704498943,26
0,48,6,0,1,1704514423,67
0,30,3,0,1,1704515052,56
0,23,2,0,1,1704580074,37
0,11,1,0,1,1704580537,29
0,1,0,1,1,1704580585,25
0,16,2,1,1,1704580619,10
0,36,4,1,1,1704580657,32
0,18,2,0,1,1704581201,55
0,14,1,0,1,1704581242,28
0,35,4,0,1,1704581310,46
0,9,1,1,1,1704581408,17
0,18,2,0,1,1704581472,42
0,69,8,0,1,1704581524,39
0,65,8,1,1,1704581595,41
0,8,1,1,1,1704582176,34
0,41,5,0,1,1704582251,47
0,72,9,0,1,1704582327,68
0,2,0,1,1,1704635878,26
0,47,5,0,1,1704635934,48
0,21,2,1,1,1704635971,22
0,34,4,1,1,1704635999,21
0,58,7,0,1,1704636062,48
0,54,6,0,1,1704636131,45
0,42,5,1,1,1704636593,26
0,54,6,0,1,1704720049,34
0,68,8,0,1,1704720123,59
0,14,1,0,1,1704720180,50
0,29,3,0,1,1704720260,56
